idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,5,5,"[1, 2]",,up up left left left,up up left left left 
1,True,True,True,6,6,"[5, 3]",,right right right down down down,right right right down down down 
2,True,True,True,5,5,"[0, 4]",,up up up up left,up up up up left 
3,True,True,True,4,4,"[2, 3]",,right up up right,right up up right 
4,False,False,False,10,8,"[1, 5]",obstacle,up up left up left left left down down down,up up left up left left left down down down 
5,True,True,True,3,3,"[0, 2]",,up up right,up up right 
6,True,True,True,5,5,"[2, 5]",,up up right up right,up up right up right 
7,False,False,False,9,9,"[0, 3]",out_of_bounds,up up up up right right right up right,up up up up right right right up right 
8,True,True,True,2,2,"[4, 2]",,right down,right down 
9,False,False,False,9,9,"[4, 1]",obstacle,up right up up up right up right right,up right up up up right up right right 
10,True,True,True,4,4,"[3, 0]",,left left down down,left left down down 
11,True,True,True,3,3,"[1, 5]",,up up up,up up up 
12,True,True,True,8,8,"[0, 0]",,up up left left left up up left,up up left left left up up left 
13,True,True,True,2,2,"[2, 1]",,right down,right down 
14,True,True,True,8,8,"[1, 0]",,up up up left left left up left,up up up left left left up left 
15,False,False,False,8,11,"[3, 1]",obstacle,left up left left left down left up,left up left left left down left up 
16,True,True,True,6,6,"[1, 0]",,down left left up left left,down left left up left left 
17,True,True,True,6,6,"[4, 0]",,left left down left down down,left left down left down down 
18,True,True,True,2,2,"[1, 3]",,up up,up up 
19,True,True,True,3,3,"[5, 0]",,left left down,left left down 
20,True,True,True,5,5,"[0, 5]",,right up up up right,right up up up right 
21,True,True,True,6,6,"[3, 1]",,left left down down down left,left left down down down left 
22,True,True,True,6,6,"[0, 5]",,left up up up right up,left up up up right up 
23,True,True,True,2,2,"[4, 3]",,right right,right right 
24,True,True,True,4,4,"[3, 3]",,right down right right,right down right right 
25,True,True,True,3,3,"[5, 3]",,down down down,down down down 
26,True,True,True,5,5,"[4, 1]",,down left down down down,down left down down down 
27,False,True,False,4,5,"[2, 4]",,left up up up,left up up up 
28,True,True,True,3,3,"[4, 1]",,right down down,right down down 
29,False,False,False,10,9,"[0, 4]",obstacle,up up up up right right up right down right,up up up up right right up right down right 
30,True,True,True,4,4,"[2, 2]",,up up up left,up up up left 
31,True,True,True,9,9,"[4, 0]",,left left left left down down down left down,left left left left down down down left down 
32,True,True,True,4,4,"[3, 1]",,left down down left,left down down left 
33,False,False,False,5,13,"[5, 3]",out_of_bounds,left left down up right,left left down up right 
34,True,True,True,4,4,"[3, 1]",,down left down down,down left down down 
35,False,False,False,5,9,"[0, 1]",obstacle,right down down down right,right down down down right 
36,True,True,True,2,2,"[5, 5]",,down down,down down 
37,False,False,False,7,9,"[4, 0]",obstacle,left up up right up up up,left up up right up up up 
38,True,True,True,6,6,"[5, 3]",,down down right down down down,down down right down down down 
39,False,False,False,10,9,"[1, 1]",obstacle,up up left up left left left up up left,up up left up left left left up up left 
40,False,False,False,9,9,"[2, 2]",obstacle,up up left left left up up left down,up up left left left up up left down 
