idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,False,False,False,6,6,"[1, 1]",obstacle,left down down down left down,left down down down left down 
1,True,True,True,6,6,"[2, 5]",,up right up right right down,up right up right right down 
2,False,False,False,4,5,"[0, 0]",out_of_bounds,left up left left,left up left left 
3,False,False,False,6,5,"[1, 1]",obstacle,left down down down left down,left down down down left down 
4,False,False,False,5,14,"[5, 3]",obstacle,up up up left left,up up up left left 
5,False,False,False,6,8,"[3, 5]",obstacle,down left left up left left,down left left up left left 
6,False,False,False,4,5,"[0, 5]",out_of_bounds,up left left left,up left left left 
7,False,True,False,8,10,"[4, 1]",,left left left down down down left down,left left left down down down left down 
8,False,False,False,6,7,"[3, 1]",obstacle,up right up right right right,up right up right right right 
9,False,False,False,3,5,"[3, 1]",obstacle,up up up,up up up 
10,False,False,False,7,6,"[0, 5]",out_of_bounds,right down down right down down left,right down down right down down left 
11,False,False,False,5,4,"[0, 5]",out_of_bounds,up up left left left,up up left left left 
12,False,False,False,5,1,"[0, 5]",out_of_bounds,up right right down down,up right right down down 
13,False,False,False,5,2,"[2, 0]",out_of_bounds,up up left left left,up up left left left 
14,False,False,False,8,12,"[5, 3]",obstacle,up up up up left left up left,up up up up left left up left 
15,False,False,False,5,3,"[0, 5]",out_of_bounds,up up up right right,up up up right right 
16,False,False,False,5,2,"[5, 5]",out_of_bounds,down down right right down,down down right right down 
17,True,True,True,4,4,"[0, 4]",,up up up right,up up up right 
18,False,True,False,3,2,"[0, 1]",,up left left,up left left 
19,False,False,False,6,8,"[5, 3]",obstacle,left up up up left up,left up up up left up 
20,False,False,False,4,6,"[2, 5]",obstacle,up up left left,up up left left 
21,False,True,False,3,2,"[0, 1]",,up up left,up up left 
22,False,False,False,5,4,"[0, 5]",out_of_bounds,right right down down down,right right down down down 
23,False,False,False,6,8,"[3, 5]",obstacle,down left left up left left,down left left up left left 
24,False,False,False,7,12,"[5, 1]",obstacle,right right up up up right right,right right up up up right right 
25,False,False,False,7,10,"[3, 3]",obstacle,right right down down right right down,right right down down right right down 
26,False,False,False,5,2,"[0, 5]",out_of_bounds,up up up right right,up up up right right 
27,False,False,False,3,3,"[0, 4]",out_of_bounds,up up left,up up left 
28,False,False,False,6,6,"[3, 1]",obstacle,up up up up right right,up up up up right right 
29,False,False,False,4,5,"[2, 5]",obstacle,up left left left,up left left left 
30,True,True,True,4,4,"[5, 3]",,down right down down,down right down down 
31,False,False,False,10,9,"[3, 0]",out_of_bounds,up up left right right right up right down down,up up left right right right up right down down 
32,False,False,False,7,6,"[0, 4]",obstacle,up up right right right down right,up up right right right down right 
33,False,False,False,2,10,"[0, 5]",out_of_bounds,up right,up right 
34,True,True,False,8,4,"[1, 2]",,up up right right up right left down,up up right right up right left down 
35,False,False,False,6,6,"[2, 4]",obstacle,up left up left left down,up left up left left down 
36,False,False,False,8,7,"[0, 4]",out_of_bounds,up left up left left left down left,up left up left left left down left 
37,False,False,False,4,8,"[0, 4]",obstacle,down down down down,down down down down 
38,False,True,False,7,7,"[0, 1]",,up up left up up up left,up up left up up up left 
39,False,False,False,9,11,"[2, 0]",out_of_bounds,up up up left right right right up right,up up up left right right right up right 
40,False,False,False,8,6,"[3, 0]",out_of_bounds,left down down left down down up left,left down down left down down up left 
41,True,True,False,8,6,"[5, 5]",,right right right down right up down down,right right right down right up down down 
42,False,False,False,8,6,"[0, 2]",out_of_bounds,up right right up right right down down,up right right up right right down down 
43,True,True,True,2,2,"[0, 1]",,up up,up up 
44,False,True,False,5,4,"[3, 1]",,left down down down right,left down down down right 
45,False,False,False,10,7,"[2, 4]",obstacle,up left up left left left down left down down,up left up left left left down left down down 
46,False,False,False,7,8,"[0, 3]",obstacle,left down down left down down down,left down down left down down down 
47,False,False,False,7,1,"[2, 0]",out_of_bounds,up left up left left left down,up left up left left left down 
48,False,False,False,5,4,"[3, 5]",obstacle,up up left down down,up up left down down 
49,False,False,False,7,4,"[0, 0]",out_of_bounds,up right right left left down down,up right right left left down down 
50,False,False,False,7,6,"[4, 0]",obstacle,right right down right right down down,right right down right right down down 
51,False,False,False,4,9,"[1, 5]",obstacle,down down left down,down down left down 
52,False,False,False,6,5,"[0, 2]",out_of_bounds,up right up right right down,up right up right right down 
53,False,False,False,4,4,"[0, 4]",out_of_bounds,up left left left,up left left left 
54,False,True,False,6,2,"[2, 0]",,up right up left left down,up right up left left down 
55,False,False,False,5,3,"[2, 0]",out_of_bounds,left left up left left,left left up left left 
56,False,False,False,7,3,"[3, 0]",out_of_bounds,down left left up left left down,down left left up left left down 
57,False,False,False,7,6,"[3, 1]",obstacle,down down right right right up right,down down right right right up right 
58,False,False,False,8,8,"[0, 4]",out_of_bounds,up left up left left left down left,up left up left left left down left 
59,False,False,False,8,12,"[1, 5]",obstacle,left down left down down left left down,left down left down down left left down 
60,True,True,True,3,3,"[1, 4]",,right right down,right right down 
61,False,False,False,5,4,"[0, 1]",obstacle,up up left left left,up up left left left 
62,False,False,False,8,6,"[4, 0]",obstacle,right right down down down right down right,right right down down down right down right 
63,False,False,False,4,4,"[0, 4]",out_of_bounds,up up up left,up up up left 
64,False,False,False,3,2,"[0, 4]",out_of_bounds,up up right,up up right 
65,False,False,False,6,5,"[0, 4]",out_of_bounds,up up up left down down,up up up left down down 
66,False,False,False,4,5,"[0, 3]",out_of_bounds,up up up down,up up up down 
67,False,False,False,6,1,"[5, 2]",out_of_bounds,right down down up left left,right down down up left left 
68,False,False,False,8,6,"[4, 0]",obstacle,down down down left left up up left,down down down left left up up left 
69,False,False,False,5,2,"[4, 3]",obstacle,up up up up left,up up up up left 
70,False,False,False,5,4,"[1, 0]",obstacle,up up up right right,up up up right right 
71,True,True,True,4,4,"[0, 1]",,up up up left,up up up left 
72,False,False,False,6,4,"[2, 5]",obstacle,up up up left left left,up up up left left left 
73,False,False,False,7,6,"[4, 2]",obstacle,left down down down left down left,left down down down left down left 
74,True,True,True,6,6,"[2, 5]",,up up up right right right,up up up right right right 
75,False,False,False,6,3,"[5, 2]",out_of_bounds,left left down down down left,left left down down down left 
76,False,False,False,4,2,"[2, 1]",obstacle,up up up right,up up up right 
77,False,True,False,4,3,"[1, 3]",,up up up right,up up up right 
78,False,False,False,6,4,"[0, 5]",obstacle,right down down down right down,right down down down right down 
79,False,False,False,8,6,"[1, 0]",obstacle,up up up right right right down right,up up up right right right down right 
80,True,True,True,4,4,"[0, 4]",,up up right right,up up right right 
81,False,False,False,7,6,"[4, 3]",obstacle,up up up up left right left,up up up up left right left 
82,False,True,False,8,5,"[0, 2]",,up up up up left right left left,up up up up left right left left 
83,False,False,False,6,5,"[1, 2]",obstacle,up left left left up left,up left left left up left 
84,True,True,True,4,4,"[0, 5]",,up up up right,up up up right 
85,False,False,False,6,5,"[2, 1]",obstacle,left left down down left down,left left down down left down 
86,False,False,False,5,5,"[1, 4]",obstacle,up up up up right,up up up up right 
87,False,True,False,4,3,"[0, 1]",,up up up left,up up up left 
88,False,False,False,6,4,"[0, 3]",out_of_bounds,left left up up down right,left left up up down right 
89,False,False,False,7,5,"[5, 2]",out_of_bounds,down down down down left left up,down down down down left left up 
90,False,False,False,5,2,"[1, 4]",obstacle,up up up left left,up up up left left 
91,False,False,False,7,4,"[0, 3]",obstacle,up right right up up up right,up right right up up up right 
92,False,False,False,7,4,"[3, 0]",out_of_bounds,up left left up up up left,up left left up up up left 
93,False,False,False,2,1,"[1, 4]",obstacle,up up,up up 
94,True,True,True,3,3,"[1, 0]",,left left down,left left down 
95,False,False,False,6,4,"[1, 2]",obstacle,left down down down right down,left down down down right down 
96,False,False,False,5,4,"[3, 2]",obstacle,down down down left down,down down down left down 
97,False,False,False,7,6,"[0, 5]",out_of_bounds,up up up up left left left,up up up up left left left 
98,False,False,False,8,7,"[3, 2]",obstacle,up right up up up right right right,up right up up up right right right 
99,True,True,True,5,5,"[1, 5]",,up up up right right,up up up right right 
100,False,False,False,7,5,"[3, 0]",out_of_bounds,left down down down left left down,left down down down left left down 
101,False,False,False,7,2,"[0, 0]",out_of_bounds,up left left up up up right,up left left up up up right 
102,False,True,False,5,4,"[2, 4]",,right up up up right,right up up up right 
103,False,False,False,6,4,"[4, 3]",obstacle,left left left down up up,left left left down up up 
104,False,False,False,8,8,"[1, 2]",obstacle,left left left down down down left down,left left left down down down left down 
105,False,True,False,4,3,"[4, 1]",,left left left down,left left left down 
106,False,False,False,7,7,"[1, 2]",obstacle,left down down down left down down,left down down down left down down 
107,False,False,False,7,2,"[1, 0]",out_of_bounds,left left left left down down down,left left left left down down down 
108,False,False,False,6,5,"[0, 1]",obstacle,right down down down right down,right down down down right down 
109,False,False,False,7,6,"[1, 2]",obstacle,left down down down left left down,left down down down left left down 
110,False,False,False,7,7,"[5, 2]",obstacle,up left up left up up up,up left up left up up up 
111,False,False,False,7,5,"[2, 1]",obstacle,left left left left up up left,left left left left up up left 
112,False,False,False,9,9,"[0, 5]",obstacle,left left down down down left left left down,left left down down down left left left down 
113,False,False,False,6,4,"[2, 1]",obstacle,left left left left up up,left left left left up up 
