idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,5,5,"[1, 2]",,up up left left left,up up left left left
1,True,True,True,6,6,"[5, 3]",,right right right down down down,right right right down down down
2,True,True,True,5,5,"[0, 4]",,up up up up left,up up up up left
3,True,True,True,4,4,"[2, 3]",,right up up right,right up up right
4,False,False,False,6,8,"[3, 5]",obstacle,down left left left left left,down left left left left left
5,True,True,True,3,3,"[0, 2]",,up up right,up up right
6,True,True,True,5,5,"[2, 5]",,up up right up right,up up right up right
7,True,True,True,9,9,"[0, 5]",,up up up up right right right right right,up up up up right right right right right
8,True,True,True,2,2,"[4, 2]",,right down,right down
9,True,True,True,9,9,"[0, 5]",,up up right up up up right right right,up up right up up up right right right
10,True,True,True,4,4,"[3, 0]",,left left down down,left left down down
11,True,True,True,3,3,"[1, 5]",,up up up,up up up
12,True,True,True,8,8,"[0, 0]",,up up left left left up left up,up up left left left up left up
13,True,True,True,2,2,"[2, 1]",,right down,right down
14,True,True,True,8,8,"[1, 0]",,up up up left left left up left,up up up left left left up left
15,False,False,False,7,11,"[3, 1]",obstacle,left up left left left left up,left up left left left left up
16,False,False,False,6,6,"[0, 4]",obstacle,up left left left left down,up left left left left down
17,True,True,True,6,6,"[4, 0]",,left left down left down down,left left down left down down
18,True,True,True,2,2,"[1, 3]",,up up,up up
19,True,True,True,3,3,"[5, 0]",,left left down,left left down
20,True,True,True,5,5,"[0, 5]",,right up up up right,right up up up right
21,True,True,True,6,6,"[3, 1]",,left left down down down left,left left down down down left
22,True,True,True,6,6,"[0, 5]",,left up up up up right,left up up up up right
23,True,True,True,2,2,"[4, 3]",,right right,right right
24,True,True,True,4,4,"[3, 3]",,right down right right,right down right right
25,True,True,True,3,3,"[5, 3]",,down down down,down down down
26,True,True,True,5,5,"[4, 1]",,down left down down down,down left down down down
27,False,False,False,0,5,"[5, 5]",invalid_action,,Goal not reachable
28,True,True,True,3,3,"[4, 1]",,right down down,right down down
29,True,True,True,9,9,"[0, 5]",,up up up up up right right right right,up up up up up right right right right
30,True,True,True,4,4,"[2, 2]",,up up up left,up up up left
31,True,True,True,9,9,"[4, 0]",,left left left left down down left down down,left left left left down down left down down
32,True,True,True,4,4,"[3, 1]",,left down down left,left down down left
33,False,False,False,3,13,"[5, 4]",obstacle,left up up,left up up
34,True,True,True,4,4,"[3, 1]",,down left down down,down left down down
35,False,False,False,6,9,"[1, 2]",obstacle,right right down down right down,right right down down right down
36,True,True,True,2,2,"[5, 5]",,down down,down down
37,False,False,False,7,9,"[4, 2]",obstacle,right up up up up up left,right up up up up up left
38,True,True,True,6,6,"[5, 3]",,down down right down down down,down down right down down down
39,True,True,True,9,9,"[1, 0]",,up up left up left left left left up,up up left up left left left left up
40,False,False,False,0,9,"[4, 5]",invalid_action,,Goal not reachable
41,False,False,False,0,10,"[4, 5]",invalid_action,,Goal not reachable
42,False,False,False,6,8,"[4, 1]",obstacle,down down down down right right,down down down down right right
43,True,True,True,5,5,"[4, 4]",,right down down down down,right down down down down
