idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,False,True,False,6,7,"[0, 3]",,up right right up right up,up right right up right up
1,True,True,True,3,3,"[4, 0]",,down down left,down down left
2,True,True,True,2,2,"[3, 1]",,up left,up left
3,True,True,True,2,2,"[4, 4]",,right right,right right
4,True,True,True,2,2,"[0, 1]",,up up,up up
5,True,True,True,5,5,"[4, 0]",,down left left down left,down left left down left
6,True,True,True,6,6,"[4, 1]",,down down down left left left,down down down left left left
7,False,True,False,0,6,"[4, 1]",,,
8,False,True,False,8,2,"[4, 1]",,up up up up down down down down,up up up up down down down down
9,False,True,False,6,3,"[1, 2]",,left left left left right right,left left left left right right
10,True,True,True,3,3,"[1, 1]",,up up up,up up up
11,False,True,False,7,4,"[4, 4]",,down right right down right right down,down right right down right right down
12,False,True,False,11,3,"[0, 0]",,up left up left down down down up up up up,up left up left down down down up up up up
13,False,True,False,5,2,"[0, 4]",,down right down up up,down right down up up
14,False,True,False,0,7,"[1, 4]",,,
15,True,True,True,5,5,"[4, 2]",,down right down down down,down right down down down
16,False,True,False,9,2,"[1, 0]",,down right down right up left up left up,down right down right up left up left up
17,False,True,False,5,5,"[0, 1]",,up left up left up,up left up left up
18,False,True,False,0,2,"[1, 1]",,,
19,False,True,False,0,5,"[4, 1]",,,
20,False,True,False,0,10,"[1, 0]",,,
21,False,True,False,0,9,"[4, 1]",,,
22,False,True,False,0,12,"[1, 0]",,,
23,False,True,False,0,10,"[0, 3]",,,
24,False,True,False,0,12,"[3, 0]",,,
25,False,True,False,0,9,"[4, 2]",,,
26,False,True,False,0,9,"[4, 0]",,,
27,False,True,False,0,6,"[0, 1]",,,
28,False,True,False,0,5,"[4, 3]",,,
29,True,True,True,2,2,"[4, 0]",,down down,down down
30,False,True,False,4,4,"[1, 2]",,up left left up,up left left up
31,False,True,False,0,9,"[2, 1]",,,
32,False,True,False,0,4,"[3, 0]",,,
33,False,True,False,0,11,"[0, 2]",,,
34,False,True,False,0,10,"[4, 1]",,,
35,False,True,False,0,10,"[2, 1]",,,
36,False,True,False,0,4,"[0, 0]",,,
37,False,True,False,0,10,"[1, 1]",,,
38,False,True,False,0,10,"[4, 0]",,,
39,False,True,False,0,5,"[0, 1]",,,
40,False,True,False,0,8,"[0, 4]",,,
41,False,True,False,0,4,"[3, 3]",,,
42,False,True,False,8,1,"[4, 2]",,down down up up up down down down,down down up up up down down down
43,False,True,False,0,5,"[4, 1]",,,
44,False,True,False,0,4,"[4, 3]",,,
45,False,True,False,0,8,"[4, 4]",,,
46,False,True,False,0,4,"[2, 4]",,,
47,False,True,False,0,4,"[0, 4]",,,
48,False,True,False,0,3,"[1, 3]",,,
49,False,True,False,10,5,"[2, 0]",,up left left up left left right right left left,up left left up left left right right left left
50,False,True,False,4,5,"[4, 2]",,down right down down,down right down down
51,True,True,True,4,4,"[3, 1]",,left left left down,left left left down
52,False,True,False,10,2,"[4, 0]",,up right up right down left down left down left,up right up right down left down left down left
53,True,True,True,3,3,"[2, 4]",,up up right,up up right
54,False,True,False,0,6,"[3, 4]",,,
55,True,True,True,3,3,"[2, 2]",,down right right,down right right
56,False,True,False,0,5,"[4, 2]",,,
57,False,True,False,0,5,"[0, 2]",,,
58,False,True,False,0,3,"[3, 1]",,,
59,False,True,False,0,10,"[4, 4]",,,
60,False,True,False,0,12,"[0, 0]",,,
61,False,True,False,0,11,"[1, 0]",,,
62,False,True,False,0,11,"[4, 1]",,,
63,False,True,False,0,9,"[4, 2]",,,
64,False,True,False,0,9,"[1, 0]",,,
65,False,True,False,0,9,"[4, 2]",,,
66,False,True,False,0,6,"[1, 4]",,,
67,True,True,True,2,2,"[0, 4]",,up up,up up
68,True,True,True,4,4,"[0, 1]",,up up left left,up up left left
69,False,True,False,0,7,"[0, 0]",,,
70,False,True,False,0,6,"[2, 0]",,,
71,False,True,False,0,6,"[0, 2]",,,
72,False,True,False,0,6,"[2, 4]",,,
73,False,True,False,0,6,"[3, 1]",,,
74,False,True,False,7,3,"[1, 4]",,down right right right up up up,down right right right up up up
75,False,True,False,0,4,"[0, 0]",,,
76,False,True,False,0,6,"[0, 3]",,,
77,False,True,False,0,7,"[1, 0]",,,
78,True,True,True,1,1,"[1, 3]",,down,down
79,False,True,False,11,1,"[4, 0]",,down down down up up up up down down down down,down down down up up up up down down down down
80,False,True,False,0,3,"[3, 3]",,,
81,True,True,True,5,5,"[2, 1]",,left left left up up,left left left up up
82,True,True,True,3,3,"[1, 0]",,left left up,left left up
83,False,True,False,3,5,"[4, 2]",,down right right,down right right
84,True,True,True,4,4,"[2, 0]",,left left left down,left left left down
85,False,True,False,0,4,"[2, 1]",,,
86,False,True,False,0,6,"[4, 1]",,,
87,False,True,False,0,6,"[0, 0]",,,
88,False,True,False,0,5,"[1, 3]",,,
89,False,True,False,8,2,"[3, 0]",,down left left up up down down down,down left left up up down down down
90,True,True,True,5,5,"[1, 4]",,up up right right right,up up right right right
91,True,True,True,6,6,"[2, 0]",,left left left left down down,left left left left down down
92,True,True,True,1,1,"[4, 2]",,down,down
93,False,True,False,4,6,"[1, 3]",,right down right right,right down right right
94,False,True,False,4,5,"[0, 2]",,up left up up,up left up up
95,False,True,False,0,5,"[1, 2]",,,
96,False,True,False,0,7,"[1, 0]",,,
97,False,True,False,3,5,"[3, 4]",,right up right,right up right
98,True,True,True,6,6,"[1, 4]",,right right right right up up,right right right right up up
99,True,True,True,3,3,"[4, 0]",,left down left,left down left
