idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,5,5,"[0, 3]",,up up up up left,up up up up left
1,True,True,True,3,3,"[0, 1]",,up left left,up left left
2,True,True,True,3,3,"[1, 2]",,up right right,up right right
3,True,True,True,2,2,"[4, 0]",,left left,left left
4,True,True,True,2,2,"[3, 2]",,left down,left down
5,True,True,True,1,1,"[2, 1]",,right,right
6,True,True,True,2,2,"[4, 4]",,down down,down down
7,True,True,True,1,1,"[3, 3]",,down,down
8,True,True,True,1,1,"[1, 2]",,right,right
9,True,True,True,7,7,"[0, 4]",,up up up right right right right,up up up right right right right
10,True,True,True,4,4,"[4, 4]",,right down down down,right down down down
11,True,True,True,3,3,"[0, 0]",,up left left,up left left
12,True,True,True,1,1,"[0, 2]",,left,left
13,True,True,True,2,2,"[0, 4]",,up up,up up
14,True,True,True,3,3,"[4, 4]",,right right right,right right right
15,True,True,True,3,3,"[0, 4]",,up up right,up up right
16,True,True,True,2,2,"[0, 2]",,up up,up up
17,True,True,True,5,5,"[0, 3]",,up up right right right,up up right right right
18,True,True,True,4,4,"[4, 0]",,left left down down,left left down down
19,True,True,True,2,2,"[3, 3]",,down down,down down
20,True,True,True,3,3,"[3, 4]",,down down down,down down down
21,True,True,True,1,1,"[1, 3]",,left,left
22,True,True,True,2,2,"[4, 2]",,down down,down down
23,True,True,True,1,1,"[4, 0]",,down,down
24,True,True,True,3,3,"[4, 2]",,down down down,down down down
25,True,True,True,1,1,"[1, 4]",,right,right
26,True,True,True,1,1,"[3, 0]",,up,up
27,True,True,True,5,5,"[0, 0]",,left up up up up,left up up up up
28,True,True,True,5,5,"[4, 0]",,left left left down down,left left left down down
29,True,True,True,3,3,"[3, 4]",,up right right,up right right
30,True,True,True,5,5,"[1, 3]",,up up right right right,up up right right right
31,True,True,True,2,2,"[3, 2]",,left left,left left
32,True,True,True,3,3,"[3, 0]",,left down down,left down down
33,True,True,True,2,2,"[3, 1]",,down down,down down
34,True,True,True,2,2,"[3, 1]",,left left,left left
35,True,True,True,1,1,"[0, 4]",,up,up
36,True,True,True,5,5,"[2, 3]",,right right right down down,right right right down down
37,True,True,True,3,3,"[2, 0]",,up up left,up up left
38,True,True,True,2,2,"[3, 2]",,right right,right right
39,True,True,True,3,3,"[3, 0]",,left left down,left left down
40,True,True,True,6,6,"[4, 2]",,right right down down down down,right right down down down down
41,True,True,True,3,3,"[4, 1]",,right down down,right down down
42,True,True,True,1,1,"[1, 4]",,right,right
43,True,True,True,3,3,"[4, 3]",,right right right,right right right
44,True,True,True,3,3,"[2, 0]",,left down down,left down down
45,True,True,True,3,3,"[2, 4]",,right down down,right down down
46,True,True,True,1,1,"[1, 2]",,left,left
47,True,True,True,5,5,"[0, 4]",,up up up right right,up up up right right
48,True,True,True,6,6,"[0, 4]",,up up right right right right,up up right right right right
49,True,True,True,6,6,"[4, 3]",,right right right down down down,right right right down down down
50,True,True,True,3,3,"[1, 0]",,up up up,up up up
51,True,True,True,2,2,"[3, 4]",,right right,right right
52,True,True,True,3,3,"[4, 0]",,left down down,left down down
53,True,True,True,3,3,"[4, 1]",,left left down,left left down
54,True,True,True,2,2,"[3, 2]",,up left,up left
55,True,True,True,4,4,"[4, 0]",,left down down down,left down down down
56,True,True,True,2,2,"[3, 3]",,down down,down down
57,True,True,True,1,1,"[4, 2]",,left,left
58,True,True,True,3,3,"[2, 2]",,left down down,left down down
59,True,True,True,2,2,"[2, 4]",,right right,right right
60,True,True,True,1,1,"[1, 4]",,right,right
61,True,True,True,2,2,"[4, 3]",,down down,down down
62,True,True,True,1,1,"[4, 2]",,right,right
63,True,True,True,4,4,"[3, 3]",,right down down down,right down down down
64,True,True,True,3,3,"[2, 4]",,right right right,right right right
65,True,True,True,7,7,"[0, 1]",,up up up up left left left,up up up up left left left
66,True,True,True,6,6,"[0, 4]",,up up right right right right,up up right right right right
67,True,True,True,3,3,"[1, 2]",,up left left,up left left
68,True,True,True,5,5,"[0, 3]",,up up up right right,up up up right right
69,True,True,True,3,3,"[4, 2]",,left down down,left down down
70,True,True,True,1,1,"[1, 2]",,left,left
71,True,True,True,2,2,"[0, 4]",,right right,right right
72,True,True,True,2,2,"[3, 1]",,up left,up left
73,True,True,True,6,6,"[3, 0]",,left left left left down down,left left left left down down
74,True,True,True,1,1,"[2, 1]",,down,down
75,True,True,True,1,1,"[2, 3]",,right,right
76,True,True,True,6,6,"[0, 1]",,up up up up left left,up up up up left left
77,True,True,True,1,1,"[2, 0]",,left,left
78,True,True,True,3,3,"[3, 3]",,down down down,down down down
79,True,True,True,4,4,"[2, 3]",,up up right right,up up right right
80,True,True,True,3,3,"[3, 0]",,left left down,left left down
81,True,True,True,1,1,"[3, 3]",,left,left
82,True,True,True,4,4,"[1, 2]",,up up left left,up up left left
83,True,True,True,5,5,"[4, 4]",,right right right down down,right right right down down
84,True,True,True,5,5,"[4, 1]",,right down down down down,right down down down down
85,True,True,True,4,4,"[0, 4]",,up up right right,up up right right
86,True,True,True,2,2,"[0, 3]",,up left,up left
