idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,False,True,False,4,5,"[5, 4]",,up right right right,up right right right 
1,True,True,True,5,5,"[0, 1]",,up up up left left,up up up left left 
2,False,True,False,9,9,"[4, 4]",,right right right right down right down down left,right right right right down right down down left 
3,False,True,False,2,3,"[5, 2]",,right down,right down 
4,False,True,False,1,2,"[5, 5]",,up,up 
5,False,True,False,2,3,"[5, 4]",,up right,up right 
6,True,True,True,3,3,"[1, 3]",,right right down,right right down 
7,True,True,True,7,7,"[1, 1]",,up up up up left left left,up up up up left left left 
8,True,True,True,3,3,"[1, 0]",,left left left,left left left 
9,False,True,False,4,6,"[4, 1]",,right down down down,right down down down 
10,True,True,True,4,4,"[1, 5]",,up up up right,up up up right 
11,True,True,True,5,5,"[3, 4]",,right right right down down,right right right down down 
12,False,True,False,2,3,"[3, 5]",,up left,up left 
13,False,True,False,6,7,"[3, 3]",,left left left down down down,left left left down down down 
14,False,True,False,9,10,"[0, 4]",,up up up up right right right up right,up up up up right right right up right 
15,False,True,False,5,8,"[3, 4]",,right right down down down,right right down down down 
16,True,True,True,4,4,"[1, 1]",,left left down left,left left down left 
17,False,True,False,8,9,"[1, 0]",,up up up up left left up left,up up up up left left up left 
18,False,True,False,6,9,"[0, 3]",,up up up right right right,up up up right right right 
19,False,True,False,6,9,"[1, 5]",,up up up up left up,up up up up left up 
20,False,True,False,8,9,"[5, 5]",,right down down down right right down right,right down down down right right down right 
21,True,True,True,3,3,"[4, 0]",,down down down,down down down 
22,True,True,True,4,4,"[1, 4]",,up up up left,up up up left 
23,False,True,False,3,4,"[2, 4]",,left left down,left left down 
24,False,False,False,6,6,"[4, 4]",obstacle,up right right right up right,up right right right up right 
25,False,True,False,8,12,"[3, 2]",,up up left left left right left up,up up left left left right left up 
26,False,True,False,1,2,"[5, 3]",,right,right 
27,False,False,False,7,9,"[3, 3]",obstacle,down left left left down down down,down left left left down down down 
28,False,False,False,6,10,"[2, 4]",obstacle,right right right right down down,right right right right down down 
29,False,True,False,6,5,"[5, 4]",,left left up left right down,left left up left right down 
30,False,True,False,1,2,"[6, 4]",,left,left 
31,True,True,True,4,4,"[4, 3]",,up right right right,up right right right 
32,False,True,False,8,9,"[4, 5]",,right right right right right down down down,right right right rightright down down down 
33,True,True,True,2,2,"[2, 0]",,left left,left left 
34,True,True,True,3,3,"[1, 2]",,left left down,left left down 
35,True,True,True,3,3,"[1, 4]",,right right down,right right down 
36,True,True,True,3,3,"[2, 5]",,up right right,up right right 
37,True,True,True,4,4,"[0, 2]",,up up up up,up up up up 
38,False,False,False,3,5,"[5, 5]",obstacle,left up up,left up up 
39,False,True,False,9,9,"[2, 4]",,left up up up right up right right right,left up up up right up right right right 
40,False,False,False,8,9,"[4, 0]",obstacle,up up right right up right up up,up up right right up right up up 
