idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,7,7,"[0, 4]",,up up up right right right right,up up up right right right right
1,True,True,True,3,3,"[4, 0]",,left down down,left down down
2,True,True,True,2,2,"[3, 1]",,up left,up left
3,True,True,True,2,2,"[4, 4]",,right right,right right
4,True,True,True,2,2,"[0, 1]",,up up,up up
5,True,True,True,5,5,"[4, 0]",,left left left down down,left left left down down
6,True,True,True,6,6,"[4, 1]",,left left down left down down,left left down left down down
7,True,True,True,6,6,"[1, 4]",,up up right up right right,up up right up right right
8,True,True,True,2,2,"[2, 1]",,up up,up up
9,True,True,True,3,3,"[1, 1]",,left left left,left left left
10,True,True,True,3,3,"[1, 1]",,up up up,up up up
11,True,True,True,4,4,"[3, 2]",,right right down down,right right down down
12,True,True,True,3,3,"[2, 0]",,up left left,up left left
13,True,True,True,2,2,"[1, 4]",,right down,right down
14,True,True,True,7,7,"[4, 0]",,left left left left down down down,left left left left down down down
15,True,True,True,5,5,"[4, 2]",,right down down down down,right down down down down
16,True,True,True,2,2,"[3, 1]",,right down,right down
17,True,True,True,5,5,"[1, 0]",,up up left left left,up up left left left
18,True,True,True,2,2,"[2, 0]",,left down,left down
19,True,True,True,5,5,"[0, 2]",,up up up up right,up up up up right
20,False,False,False,5,10,"[1, 2]",obstacle,right right down down right,right right down down right
21,False,False,False,5,9,"[3, 2]",obstacle,right up up up up,right up up up up
22,False,False,False,4,12,"[1, 1]",obstacle,right down down left,right down down left
23,False,False,False,6,10,"[1, 2]",obstacle,left down down down left left,left down down down left left
24,False,False,False,6,12,"[3, 0]",obstacle,right right up up up left,right right up up up left
25,False,False,False,7,9,"[4, 0]",out_of_bounds,left left left up up up right,left left left up up up right
26,False,False,False,8,9,"[4, 3]",obstacle,right right right up up up left left,right right right up up up left left
27,False,True,False,5,6,"[3, 1]",,right down down left down,right down down left down
28,True,True,True,5,5,"[0, 4]",,up up up right up,up up up right up
29,True,True,True,2,2,"[4, 0]",,down down,down down
30,True,True,True,4,4,"[2, 1]",,up left left left,up left left left
31,False,False,False,5,9,"[2, 1]",obstacle,right up up right right,right up up right right
32,True,True,True,4,4,"[4, 3]",,right right down right,right right down right
33,False,False,False,6,11,"[2, 3]",obstacle,right down down left left down,right down down left left down
34,False,False,False,6,10,"[2, 0]",obstacle,up up left up up right,up up left up up right
35,False,False,False,4,10,"[2, 1]",obstacle,right up up right,right up up right
36,True,True,True,4,4,"[1, 3]",,right right right down,right right right down
37,False,False,False,6,10,"[1, 2]",obstacle,right right down down left down,right right down down left down
38,False,False,False,9,10,"[3, 0]",obstacle,up right right right up up up left left,up right right right up up up left left
39,True,True,True,5,5,"[2, 4]",,right down right right down,right down right right down
40,True,True,True,8,8,"[4, 0]",,left left down down left left down down,left left down down left left down down
41,True,True,True,4,4,"[0, 4]",,up right up up,up right up up
42,True,True,True,1,1,"[3, 2]",,down,down
43,True,True,True,5,5,"[4, 4]",,up right right right down,up right right right down
44,True,True,True,4,4,"[1, 4]",,up up right up,up up right up
45,True,True,True,8,8,"[0, 0]",,up up up up left left left left,up up up up left left left left
46,True,True,True,4,4,"[1, 1]",,left up left left,left up left left
47,True,True,True,4,4,"[0, 2]",,down left left up,down left left up
48,True,True,True,3,3,"[3, 4]",,right down down,right down down
49,True,True,True,5,5,"[2, 1]",,up left up left left,up left up left left
50,True,True,True,5,5,"[4, 3]",,right right down down down,right right down down down
51,True,True,True,4,4,"[3, 1]",,left left left down,left left left down
52,True,True,True,2,2,"[2, 2]",,up right,up right
53,True,True,True,3,3,"[2, 4]",,up up right,up up right
54,True,True,True,6,6,"[1, 0]",,left left left up up left,left left left up up left
55,True,True,True,3,3,"[2, 2]",,right right down,right right down
56,True,True,True,5,5,"[0, 1]",,up up up up left,up up up up left
57,True,True,True,5,5,"[4, 3]",,down right down down down,down right down down down
58,True,True,True,3,3,"[2, 3]",,right right up,right right up
59,False,False,False,6,10,"[3, 3]",obstacle,left up up up up right,left up up up up right
