idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,False,True,False,4,5,"[5, 4]",,up right right right,up right right right
1,True,True,True,5,5,"[0, 1]",,up up up left left,up up up left left
2,False,False,False,7,9,"[2, 4]",obstacle,right right right right down down down,right right right right down down down
3,False,True,False,2,3,"[5, 2]",,right down,right down
4,False,True,False,1,2,"[5, 5]",,up,up
5,False,False,False,2,3,"[6, 4]",out_of_bounds,right down,right down
6,True,True,True,3,3,"[1, 3]",,right right down,right right down
7,True,True,True,7,7,"[1, 1]",,up up up up left left left,up up up up left left left
8,True,True,True,3,3,"[1, 0]",,left left left,left left left
9,False,True,False,4,6,"[4, 1]",,right down down down,right down down down
10,True,True,True,4,4,"[1, 5]",,up up up right,up up up right
11,True,True,True,5,5,"[3, 4]",,right right right down down,right right right down down
12,False,True,False,2,3,"[3, 5]",,up left,up left
13,False,True,False,5,7,"[3, 4]",,left left down down down,left left down down down
14,False,True,False,8,10,"[1, 4]",,up up up up right right right right,up up up up right right right right
15,False,True,False,6,8,"[4, 4]",,right right down down down down,right right down down down down
16,True,True,True,4,4,"[1, 1]",,left left down left,left left down left
17,False,True,False,7,9,"[2, 0]",,up up up up left left left,up up up up left left left
18,False,True,False,7,9,"[0, 4]",,up up up right right right right,up up up right right right right
19,False,True,False,6,9,"[2, 4]",,up up up left left up,up up up left left up
20,False,True,False,7,9,"[5, 4]",,right right right down down down down,right right right down down down down
21,True,True,True,3,3,"[4, 0]",,down down down,down down down
22,True,True,True,4,4,"[1, 4]",,up up up left,up up up left
23,False,True,False,2,4,"[2, 5]",,left down,left down
24,True,True,True,6,6,"[3, 5]",,up right right right right up,up right right right right up
25,False,True,False,8,12,"[3, 0]",,up up left left left left left up,up up left left left left left up
26,False,False,False,2,2,"[4, 2]",obstacle,up right,up right
27,False,False,False,7,9,"[2, 4]",obstacle,down left left down down down down,down left left down down down down
28,False,False,False,6,10,"[2, 4]",obstacle,right right right right down down,right right right right down down
29,False,True,False,3,5,"[5, 3]",,left left left,left left left
30,False,False,False,1,2,"[6, 5]",out_of_bounds,down,down
31,True,True,True,4,4,"[4, 3]",,up right right right,up right right right
32,True,True,True,9,9,"[5, 5]",,right right right right right down down down down,right right right right right down down down down
33,True,True,True,2,2,"[2, 0]",,left left,left left
34,True,True,True,3,3,"[1, 2]",,left left down,left left down
35,True,True,True,3,3,"[1, 4]",,right right down,right right down
36,True,True,True,3,3,"[2, 5]",,up right right,up right right
37,True,True,True,4,4,"[0, 2]",,up up up up,up up up up
38,False,True,False,3,5,"[3, 5]",,up up left,up up left
39,False,False,False,7,9,"[6, 2]",obstacle,right up up up right up right,right up up up right up right
40,False,False,False,7,9,"[4, 0]",obstacle,up up right right up up right,up up right right up up right
41,True,True,True,5,5,"[5, 2]",,down right down down right,down right down down right
