idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,6,6,"[1, 2]",,up up up up right right,up up up up right right
1,True,True,True,7,7,"[0, 2]",,up up up up up left left,up up up up up left left
2,False,False,False,5,5,"[0, 6]",out_of_bounds,up up up up right,up up up up right
3,False,True,False,1,2,"[5, 0]",,up,up
4,True,True,True,6,6,"[0, 3]",,up up up up right right,up up up up right right
5,True,True,True,4,4,"[0, 4]",,up up up left,up up up left
6,True,True,True,5,5,"[0, 3]",,up up up up right,up up up up right
7,False,True,False,4,5,"[5, 4]",,up right right right,up right right right
8,True,True,True,7,7,"[4, 1]",,left left left down down down down,left left left down down down down
9,False,True,False,3,5,"[3, 2]",,up up up,up up up
10,False,True,False,3,5,"[4, 6]",,down down down,down down down
11,True,True,True,2,2,"[2, 2]",,up right,up right
12,False,True,False,1,2,"[5, 2]",,down,down
13,False,True,False,4,5,"[3, 3]",,right right right up,right right right up
14,True,True,True,4,4,"[2, 3]",,up right right right,up right right right
15,False,True,False,4,6,"[2, 4]",,up right right right,up right right right
16,False,True,False,4,6,"[4, 4]",,right right right down,right right right down
17,True,True,True,3,3,"[2, 6]",,up up up,up up up
18,True,True,True,7,7,"[2, 0]",,up up up left left left left,up up up left left left left
19,True,True,True,4,4,"[3, 1]",,up up left left,up up left left
20,False,True,False,2,3,"[4, 5]",,right down,right down
21,True,True,True,5,5,"[4, 3]",,left down down down down,left down down down down
22,True,True,True,6,6,"[1, 2]",,up up up up left left,up up up up left left
23,False,True,False,8,10,"[5, 4]",,right right right down down down down down,right right right down down down down down
24,True,True,True,6,6,"[5, 1]",,left left down down down down,left left down down down down
25,False,True,False,4,6,"[3, 2]",,left left left left,left left left left
26,False,True,False,2,4,"[4, 1]",,left down,left down
27,True,True,True,6,6,"[5, 0]",,left left left down down down,left left left down down down
28,False,True,False,6,8,"[5, 4]",,right right right right down down,right right right right down down
29,True,True,True,3,3,"[4, 5]",,right right down,right right down
30,False,True,False,1,1,"[4, 5]",,up,up
31,False,True,False,1,3,"[0, 5]",,left,left
32,False,True,False,3,5,"[4, 4]",,up right right,up right right
33,False,True,False,2,4,"[3, 5]",,left down,left down
34,True,True,True,4,4,"[1, 0]",,left left left left,left left left left
35,True,True,True,2,2,"[4, 2]",,left down,left down
36,True,True,True,7,7,"[4, 4]",,right right right down down down down,right right right down down down down
37,False,True,False,2,4,"[2, 5]",,left down,left down
38,True,True,True,1,1,"[1, 2]",,up,up
39,False,True,False,2,4,"[4, 4]",,up up,up up
40,True,True,True,2,2,"[2, 2]",,left left,left left
41,False,False,False,2,4,"[3, 6]",out_of_bounds,right down,right down
42,True,True,True,4,4,"[5, 2]",,left left left down,left left left down
43,True,True,True,4,4,"[4, 0]",,down down down down,down down down down
44,True,True,True,3,3,"[0, 2]",,up left left,up left left
45,True,True,True,8,8,"[5, 0]",,left left left left left down down down,left left left left left down down down
46,False,True,False,8,10,"[3, 0]",,up up up left left left left left,up up up left left left left left
47,True,True,True,3,3,"[4, 4]",,left down down,left down down
48,False,True,False,4,6,"[2, 3]",,up up up up,up up up up
49,True,True,True,3,3,"[3, 1]",,down down down,down down down
50,True,True,True,5,5,"[0, 1]",,up up up left left,up up up left left
51,False,True,False,3,5,"[6, 3]",,left left left,left left left
52,False,True,False,1,2,"[6, 5]",,left,left
53,False,True,False,2,4,"[1, 5]",,left down,left down
54,True,True,True,7,7,"[0, 1]",,up up up up left left left,up up up up left left left
55,True,True,True,4,4,"[3, 3]",,left down down down,left down down down
56,False,True,False,4,5,"[1, 5]",,up up up right,up up up right
57,True,True,True,2,2,"[4, 2]",,right down,right down
58,False,True,False,2,4,"[4, 6]",,up up,up up
59,True,True,True,3,3,"[2, 5]",,up right right,up right right
60,False,True,False,5,7,"[5, 4]",,right right right down down,right right right down down
61,False,True,False,3,6,"[5, 4]",,up left left,up left left
62,False,True,False,4,6,"[4, 5]",,left down down down,left down down down
63,True,True,True,5,5,"[2, 2]",,left left down left down,left left down left down
64,True,True,True,4,4,"[5, 1]",,left left left left,left left left left
65,False,True,False,5,9,"[4, 4]",,right right right right down,right right right right down
66,False,True,False,4,4,"[4, 1]",,up left left left,up left left left
67,True,True,True,1,1,"[3, 0]",,down,down
68,False,False,False,2,3,"[6, 3]",out_of_bounds,right down,right down
69,True,True,True,4,4,"[4, 4]",,right right down down,right right down down
70,True,True,True,4,4,"[1, 4]",,up up up left,up up up left
71,True,True,True,4,4,"[3, 5]",,right right right down,right right right down
72,True,True,True,4,4,"[2, 1]",,up up up right,up up up right
73,False,True,False,4,7,"[5, 3]",,left left left down,left left left down
