idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,False,True,False,0,5,"[0, 5]",,,
1,True,True,True,1,1,"[1, 5]",,right,right
2,False,True,False,0,8,"[0, 4]",,,
3,True,True,True,3,3,"[5, 1]",,left left left,left left left
4,False,True,False,0,4,"[0, 5]",,,
5,False,True,False,0,3,"[1, 4]",,,
6,False,True,False,5,2,"[4, 2]",,down right down right down,down right down right down
7,False,True,False,0,4,"[2, 3]",,,
8,False,True,False,0,4,"[2, 1]",,,
9,False,True,False,0,11,"[0, 2]",,,
10,False,True,False,5,1,"[3, 4]",,up up down down down,up up down down down
11,False,True,False,0,3,"[3, 3]",,,
12,True,True,True,3,3,"[5, 3]",,down down down,down down down
13,False,True,False,0,5,"[3, 0]",,,
14,False,True,False,0,3,"[3, 5]",,,
15,False,True,False,2,4,"[4, 4]",,up right,up right
16,False,True,False,6,1,"[1, 5]",,left left left right right right,left left left right right right
17,False,True,False,0,5,"[5, 2]",,,
18,False,True,False,0,4,"[3, 5]",,,
19,False,True,False,0,8,"[0, 2]",,,
20,False,True,False,0,9,"[1, 5]",,,
21,False,True,False,0,5,"[4, 3]",,,
22,False,True,False,0,5,"[2, 1]",,,
23,False,True,False,0,9,"[0, 1]",,,
24,False,True,False,0,9,"[5, 5]",,,
25,False,True,False,0,3,"[5, 2]",,,
26,False,True,False,0,3,"[5, 3]",,,
27,False,True,False,0,11,"[4, 0]",,,
28,False,True,False,0,9,"[5, 0]",,,
29,False,True,False,0,13,"[5, 1]",,,
30,False,True,False,0,3,"[0, 2]",,,
31,False,True,False,0,5,"[1, 5]",,,
32,False,True,False,0,4,"[0, 2]",,,
33,False,True,False,0,10,"[0, 0]",,,
34,False,True,False,0,9,"[5, 5]",,,
35,False,True,False,0,9,"[0, 5]",,,
36,False,True,False,0,8,"[5, 2]",,,
37,False,True,False,0,10,"[5, 5]",,,
38,True,True,True,1,1,"[3, 2]",,left,left
39,True,True,True,1,1,"[4, 5]",,right,right
40,False,True,False,0,5,"[3, 1]",,,
41,False,True,False,0,3,"[3, 1]",,,
42,False,True,False,0,10,"[5, 0]",,,
43,False,True,False,0,6,"[5, 5]",,,
44,False,True,False,0,2,"[4, 2]",,,
45,False,True,False,0,7,"[0, 1]",,,
46,False,True,False,0,9,"[2, 5]",,,
47,False,True,False,0,11,"[5, 0]",,,
48,False,True,False,0,12,"[5, 3]",,,
49,False,True,False,0,6,"[2, 0]",,,
50,False,True,False,0,9,"[5, 1]",,,
51,False,True,False,0,11,"[3, 0]",,,
52,False,True,False,0,6,"[5, 5]",,,
53,False,True,False,0,9,"[1, 5]",,,
54,False,True,False,0,6,"[0, 0]",,,
55,False,True,False,0,3,"[3, 1]",,,
56,False,True,False,0,3,"[4, 2]",,,
57,False,True,False,0,5,"[2, 5]",,,
58,False,True,False,0,5,"[2, 0]",,,
59,False,True,False,0,6,"[1, 0]",,,
60,False,True,False,0,9,"[0, 3]",,,
61,False,True,False,0,9,"[1, 5]",,,
62,False,True,False,0,5,"[5, 5]",,,
63,True,True,True,2,2,"[1, 2]",,up left,up left
64,False,True,False,0,3,"[2, 1]",,,
65,False,True,False,0,9,"[5, 3]",,,
66,False,True,False,0,10,"[5, 1]",,,
67,False,True,False,0,8,"[0, 0]",,,
68,False,True,False,0,5,"[3, 4]",,,
69,False,True,False,0,9,"[4, 1]",,,
70,False,True,False,0,15,"[2, 5]",,,
71,False,True,False,0,10,"[4, 4]",,,
72,False,True,False,0,5,"[3, 2]",,,
73,False,True,False,0,9,"[5, 2]",,,
74,False,True,False,0,9,"[5, 4]",,,
75,True,True,True,2,2,"[2, 2]",,right right,right right
76,False,True,False,0,7,"[5, 0]",,,
77,False,True,False,0,5,"[0, 5]",,,
78,False,True,False,0,5,"[5, 2]",,,
79,False,True,False,0,7,"[4, 5]",,,
80,False,True,False,0,4,"[5, 3]",,,
81,False,True,False,0,13,"[5, 3]",,,
82,True,True,True,2,2,"[5, 3]",,down down,down down
83,False,True,False,0,10,"[1, 5]",,,
84,False,True,False,0,5,"[5, 4]",,,
85,False,True,False,0,9,"[5, 5]",,,
86,False,True,False,0,8,"[3, 5]",,,
87,False,True,False,0,7,"[3, 3]",,,
88,False,True,False,0,3,"[5, 5]",,,
89,True,True,True,1,1,"[5, 4]",,left,left
90,False,True,False,0,9,"[2, 5]",,,
91,False,True,False,0,9,"[2, 5]",,,
92,False,True,False,0,9,"[2, 5]",,,
93,False,True,False,0,10,"[4, 5]",,,
94,False,True,False,0,8,"[0, 5]",,,
95,True,True,True,1,1,"[1, 0]",,left,left
96,False,True,False,0,5,"[2, 4]",,,
97,False,True,False,0,6,"[0, 4]",,,
98,False,True,False,0,5,"[0, 1]",,,
99,False,True,False,0,3,"[0, 4]",,,
