idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,2,2,"[1, 4]",,left down,left down
1,True,True,True,2,2,"[1, 4]",,up up,up up
2,True,True,True,6,6,"[5, 0]",,left left left left down down,left left left left down down
3,True,True,True,2,2,"[4, 4]",,left down,left down
4,True,True,True,6,6,"[3, 3]",,down right right right down down,down right right right down down
5,True,True,True,6,6,"[4, 5]",,right right right right right down,right right right right right down
6,True,True,True,5,5,"[4, 3]",,right right right down down,right right right down down
7,True,True,True,5,5,"[4, 1]",,left left down down down,left left down down down
8,True,True,True,6,6,"[0, 0]",,up up left left left left,up up left left left left
9,True,True,True,7,7,"[4, 5]",,right right right right right down down,right right right right right down down
10,True,True,True,6,6,"[0, 1]",,up up up up up right,up up up up up right
11,True,True,True,4,4,"[1, 0]",,up left up left,up left up left
12,True,True,True,6,6,"[3, 0]",,left left down left down down,left left down left down down
13,True,True,True,3,3,"[2, 3]",,right down down,right down down
14,True,True,True,6,6,"[1, 3]",,up up up up left left,up up up up left left
15,True,True,True,5,5,"[5, 5]",,right right down down down,right right down down down
16,True,True,True,3,3,"[1, 5]",,up up up,up up up
17,True,True,True,4,4,"[4, 0]",,left left left left,left left left left
18,True,True,True,6,6,"[4, 2]",,left left left down down down,left left left down down down
19,True,True,True,8,8,"[0, 0]",,up up up up left left left left,up up up up left left left left
20,True,True,True,6,6,"[1, 3]",,up left up up up right,up left up up up right
21,True,True,True,6,6,"[5, 4]",,left down down right down down,left down down right down down
22,True,True,True,6,6,"[5, 4]",,right right right right down down,right right right right down down
23,True,True,True,1,1,"[2, 0]",,down,down
24,True,True,True,2,2,"[0, 5]",,right right,right right
25,True,True,True,3,3,"[4, 1]",,up left left,up left left
26,True,True,True,6,6,"[1, 2]",,up up up up left left,up up up up left left
27,True,True,True,6,6,"[5, 1]",,left left left left down down,left left left left down down
28,True,True,True,7,7,"[1, 1]",,up up up left left left left,up up up left left left left
29,True,True,True,2,2,"[2, 3]",,left down,left down
30,True,True,True,5,5,"[2, 5]",,right right right right down,right right right right down
31,True,True,True,7,7,"[5, 0]",,left left left left down down down,left left left left down down down
32,True,True,True,4,4,"[4, 0]",,down down down down,down down down down
33,True,True,True,5,5,"[3, 5]",,up up right right right,up up right right right
34,True,True,True,3,3,"[5, 2]",,left left down,left left down
35,True,True,True,3,3,"[4, 1]",,up left left,up left left
36,True,True,True,4,4,"[2, 3]",,left left down down,left left down down
37,True,True,True,5,5,"[2, 3]",,up right up up right,up right up up right
38,True,True,True,1,1,"[2, 3]",,left,left
39,True,True,True,1,1,"[5, 0]",,left,left
40,True,True,True,5,5,"[4, 3]",,right down down down down,right down down down down
