idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,5,5,"[1, 2]",,up up left left left,up up left left left
1,False,True,False,0,6,"[2, 0]",,,
2,True,True,True,5,5,"[0, 4]",,up up up up left,up up up up left
3,True,True,True,4,4,"[2, 3]",,right up up right,right up up right
4,False,True,False,0,8,"[3, 5]",,,
5,True,True,True,3,3,"[0, 2]",,up up right,up up right
6,False,True,False,0,5,"[5, 3]",,,
7,False,True,False,0,9,"[4, 0]",,,
8,True,True,True,2,2,"[4, 2]",,down right,down right
9,False,True,False,0,9,"[5, 1]",,,
10,True,True,True,4,4,"[3, 0]",,down down left left,down down left left
11,True,True,True,3,3,"[1, 5]",,up up up,up up up
12,False,True,False,0,8,"[4, 4]",,,
13,True,True,True,2,2,"[2, 1]",,right down,right down
14,False,True,False,0,8,"[5, 4]",,,
15,False,True,False,0,11,"[4, 5]",,,
16,False,True,False,0,6,"[1, 4]",,,
17,False,True,False,0,6,"[1, 3]",,,
18,True,True,True,2,2,"[1, 3]",,up up,up up
19,True,True,True,3,3,"[5, 0]",,left down left,left down left
20,False,True,False,0,5,"[3, 3]",,,
21,False,True,False,0,6,"[0, 4]",,,
22,False,True,False,0,6,"[4, 5]",,,
23,True,True,True,2,2,"[4, 3]",,right right,right right
24,False,True,False,0,4,"[2, 0]",,,
25,True,True,True,3,3,"[5, 3]",,down down down,down down down
26,True,True,True,5,5,"[4, 1]",,down down down down left,down down down down left
27,True,True,True,5,5,"[1, 4]",,left up up up up,left up up up up
28,True,True,True,3,3,"[4, 1]",,down down right,down down right
29,False,True,False,0,9,"[5, 1]",,,
30,True,True,True,4,4,"[2, 2]",,up up up left,up up up left
31,False,True,False,0,9,"[0, 5]",,,
32,True,True,True,4,4,"[3, 1]",,down down left left,down down left left
33,False,True,False,0,13,"[5, 5]",,,
34,True,True,True,4,4,"[3, 1]",,down down down left,down down down left
35,False,True,False,0,9,"[0, 0]",,,
36,True,True,True,2,2,"[5, 5]",,down down,down down
37,False,True,False,0,9,"[5, 1]",,,
38,True,True,True,6,6,"[5, 3]",,down down down down down right,down down down down down right
39,False,True,False,0,9,"[5, 5]",,,
40,False,True,False,0,9,"[4, 5]",,,
41,False,True,False,0,10,"[4, 5]",,,
