idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,7,7,"[0, 4]",,up right right right right up up,up right right right right up up
1,True,True,True,3,3,"[4, 0]",,down down left,down down left
2,True,True,True,2,2,"[3, 1]",,up left,up left
3,True,True,True,2,2,"[4, 4]",,right right,right right
4,True,True,True,2,2,"[0, 1]",,up up,up up
5,True,True,True,5,5,"[4, 0]",,down down left left left,down down left left left
6,True,True,True,6,6,"[4, 1]",,down down down left left left,down down down left left left
7,True,True,True,6,6,"[1, 4]",,right right right up up up,right right right up up up
8,True,True,True,2,2,"[2, 1]",,up up,up up
9,True,True,True,3,3,"[1, 1]",,left left left,left left left
10,True,True,True,3,3,"[1, 1]",,up up up,up up up
11,True,True,True,4,4,"[3, 2]",,down down right right,down down right right
12,True,True,True,3,3,"[2, 0]",,up left left,up left left
13,True,True,True,2,2,"[1, 4]",,down right,down right
14,True,True,True,7,7,"[4, 0]",,left left left left down down down,left left left left down down down
15,True,True,True,5,5,"[4, 2]",,down down down down right,down down down down right
16,True,True,True,2,2,"[3, 1]",,down right,down right
17,True,True,True,5,5,"[1, 0]",,up up left left left,up up left left left
18,True,True,True,2,2,"[2, 0]",,down left,down left
19,True,True,True,5,5,"[0, 2]",,up up up up right,up up up up right
20,False,True,False,0,10,"[1, 0]",,,
21,False,True,False,0,9,"[4, 1]",,,
22,False,True,False,0,12,"[1, 0]",,,
23,False,True,False,0,10,"[0, 3]",,,
24,False,True,False,0,12,"[3, 0]",,,
25,False,True,False,0,9,"[4, 2]",,,
26,False,True,False,0,9,"[4, 0]",,,
27,False,True,False,0,6,"[0, 1]",,,
28,False,True,False,0,5,"[4, 3]",,,
29,True,True,True,2,2,"[4, 0]",,down down,down down
30,True,True,True,4,4,"[2, 1]",,left left left up,left left left up
31,False,True,False,0,9,"[2, 1]",,,
32,False,True,False,0,4,"[3, 0]",,,
33,False,True,False,0,11,"[0, 2]",,,
34,False,True,False,0,10,"[4, 1]",,,
35,False,True,False,0,10,"[2, 1]",,,
36,True,True,True,4,4,"[1, 3]",,right right right down,right right right down
37,False,True,False,0,10,"[1, 1]",,,
38,False,True,False,0,10,"[4, 0]",,,
39,False,True,False,0,5,"[0, 1]",,,
40,False,True,False,0,8,"[0, 4]",,,
41,False,True,False,0,4,"[3, 3]",,,
42,True,True,True,1,1,"[3, 2]",,down,down
43,True,True,True,5,5,"[4, 4]",,up right right down right,up right right down right
44,True,True,True,4,4,"[1, 4]",,right up up up,right up up up
45,False,True,False,0,8,"[4, 4]",,,
46,False,True,False,0,4,"[2, 4]",,,
47,False,True,False,0,4,"[0, 4]",,,
48,True,True,True,3,3,"[3, 4]",,down down right,down down right
49,True,True,True,5,5,"[2, 1]",,left up up left left,left up up left left
50,True,True,True,5,5,"[4, 3]",,right right down down down,right right down down down
51,True,True,True,4,4,"[3, 1]",,down left left left,down left left left
52,True,True,True,2,2,"[2, 2]",,up right,up right
53,True,True,True,3,3,"[2, 4]",,up up right,up up right
54,False,True,False,0,6,"[3, 4]",,,
55,True,True,True,3,3,"[2, 2]",,right right down,right right down
56,False,True,False,0,5,"[4, 2]",,,
57,True,True,True,5,5,"[4, 3]",,down down down down right,down down down down right
58,False,True,False,0,3,"[3, 1]",,,
59,False,True,False,0,10,"[4, 4]",,,
60,False,True,False,0,12,"[0, 0]",,,
61,False,True,False,0,11,"[1, 0]",,,
62,False,True,False,0,11,"[4, 1]",,,
63,False,True,False,0,9,"[4, 2]",,,
64,False,True,False,0,9,"[1, 0]",,,
65,False,True,False,0,9,"[4, 2]",,,
66,False,True,False,0,6,"[1, 4]",,,
67,True,True,True,2,2,"[0, 4]",,up up,up up
68,True,True,True,4,4,"[0, 1]",,up left up left,up left up left
69,False,True,False,0,7,"[0, 0]",,,
70,False,True,False,0,6,"[2, 0]",,,
71,True,True,True,6,6,"[4, 4]",,right down down down down right,right down down down down right
72,False,True,False,0,6,"[2, 4]",,,
73,False,True,False,0,6,"[3, 1]",,,
74,True,True,True,3,3,"[3, 4]",,right right right,right right right
75,True,True,True,4,4,"[2, 2]",,right right down down,right right down down
76,True,True,True,6,6,"[4, 3]",,right down down down down left,right down down down down left
77,False,True,False,0,7,"[1, 0]",,,
78,True,True,True,1,1,"[1, 3]",,down,down
79,True,True,True,1,1,"[2, 0]",,down,down
80,True,True,True,3,3,"[2, 1]",,left up left,left up left
81,True,True,True,5,5,"[2, 1]",,up up left left left,up up left left left
82,True,True,True,3,3,"[1, 0]",,up left left,up left left
83,True,True,True,5,5,"[4, 4]",,right right right right down,right right right right down
84,True,True,True,4,4,"[2, 0]",,left left left down,left left left down
85,True,True,True,4,4,"[0, 3]",,right right up up,right right up up
86,True,True,True,6,6,"[0, 3]",,up up right right up up,up up right right up up
87,False,True,False,0,6,"[0, 0]",,,
88,False,True,False,0,5,"[1, 3]",,,
89,True,True,True,2,2,"[1, 0]",,left left,left left
90,True,True,True,5,5,"[1, 4]",,up up right right right,up up right right right
91,True,True,True,6,6,"[2, 0]",,left left left left down down,left left left left down down
92,True,True,True,1,1,"[4, 2]",,down,down
93,True,True,True,6,6,"[4, 2]",,right right down down down down,right right down down down down
94,True,True,True,5,5,"[0, 1]",,up up up left left,up up up left left
95,True,True,True,5,5,"[4, 0]",,down down down left left,down down down left left
96,False,True,False,0,7,"[1, 0]",,,
97,True,True,True,5,5,"[1, 4]",,right up up right up,right up up right up
98,False,True,False,0,6,"[3, 0]",,,
99,True,True,True,3,3,"[4, 0]",,down left left,down left left
