idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,6,6,"[5, 1]",,down down down left down down,down down down left down down
1,False,False,False,6,6,"[3, 3]",obstacle,right down right right up up,right down right right up up
2,True,True,True,5,5,"[2, 0]",,down down left left up,down down left left up
3,True,True,True,5,5,"[4, 1]",,down down down left down,down down down left down
4,False,False,False,4,14,"[5, 3]",obstacle,left up left down,left up left down
5,False,False,False,6,8,"[4, 5]",obstacle,down down left left left left,down down left left left left
6,True,True,True,5,5,"[1, 1]",,left left left left down,left left left left down
7,True,True,True,10,10,"[5, 0]",,left left left down down down left left down down,left left left down down down left left down down
8,True,True,True,7,7,"[1, 4]",,up right right up up right right,up right right up up right right
9,False,False,False,5,5,"[2, 0]",obstacle,left up up up right,left up up up right
10,False,False,False,6,6,"[4, 5]",obstacle,down down down down left down,down down down down left down
11,True,True,True,4,4,"[0, 1]",,left left left left,left left left left
12,True,True,True,1,1,"[1, 5]",,right,right
13,True,True,True,2,2,"[2, 0]",,up up,up up
14,False,False,False,8,12,"[5, 3]",obstacle,left up up up up up left left,left up up up up up left left
15,True,True,True,3,3,"[0, 3]",,up left left,up left left
16,True,True,True,2,2,"[5, 5]",,down down,down down
17,True,True,True,4,4,"[0, 4]",,up up up right,up up up right
18,True,True,True,2,2,"[1, 1]",,left left,left left
19,False,False,False,6,8,"[5, 3]",obstacle,left left up up up up,left left up up up up
20,False,False,False,4,6,"[3, 5]",obstacle,up left left up,up left left up
21,True,True,True,2,2,"[0, 2]",,up up,up up
22,True,True,True,4,4,"[3, 5]",,right down down down,right down down down
23,False,False,False,6,8,"[4, 5]",obstacle,down down left left left left,down down left left left left
24,False,False,False,6,12,"[4, 2]",obstacle,up right right right right down,up right right right right down
25,False,False,False,6,10,"[3, 3]",obstacle,right right down down right right,right right down down right right
26,True,True,True,2,2,"[0, 3]",,left left,left left
27,True,True,True,3,3,"[2, 3]",,left down down,left down down
28,True,True,True,6,6,"[1, 3]",,up up right up up right,up up right up up right
29,True,True,True,5,5,"[1, 2]",,up up left left left,up up left left left
30,True,True,True,4,4,"[5, 3]",,down right down down,down right down down
31,False,False,False,8,9,"[4, 0]",obstacle,up right right up right right right down,up right right up right right right down
32,True,True,True,6,6,"[0, 5]",,up up right right right right,up up right right right right
33,False,False,False,0,10,"[1, 5]",invalid_action,,Goal not reachable
34,True,True,True,4,4,"[1, 2]",,up up right right,up up right right
35,False,False,False,6,6,"[2, 4]",obstacle,up up left left left down,up up left left left down
36,True,True,True,7,7,"[1, 0]",,up left left left left left down,up left left left left left down
37,False,False,False,6,8,"[0, 3]",obstacle,left down down right down down,left down down right down down
38,True,True,True,7,7,"[0, 3]",,up up left up up up right,up up left up up up right
39,False,False,False,9,11,"[2, 2]",obstacle,up up up right right right right right up,up up up right right right right right up
40,False,False,False,6,6,"[3, 2]",obstacle,down right down down left down,down right down down left down
41,True,True,True,6,6,"[5, 5]",,right right right right down down,right right right right down down
42,False,False,False,6,6,"[2, 2]",obstacle,right right down right right down,right right down right right down
43,True,True,True,2,2,"[0, 1]",,up up,up up
44,True,True,True,4,4,"[3, 2]",,right down down down,right down down down
45,True,True,True,7,7,"[4, 0]",,left left up left left left down,left left up left left left down
46,False,False,False,8,8,"[0, 3]",obstacle,left down left down down right down down,left down left down down right down down
47,True,True,True,1,1,"[3, 1]",,right,right
48,True,True,True,4,4,"[5, 3]",,left left down down,left left down down
49,True,True,True,4,4,"[2, 2]",,right right down down,right right down down
50,True,True,True,6,6,"[4, 4]",,up right right right down right,up right right right down right
51,False,False,False,0,9,"[1, 5]",invalid_action,,Goal not reachable
52,False,False,False,5,5,"[2, 2]",obstacle,right down right right down,right down right right down
53,True,True,True,4,4,"[1, 1]",,left left left down,left left left down
54,True,True,True,2,2,"[2, 2]",,up right,up right
55,True,True,True,3,3,"[2, 0]",,up left left,up left left
56,True,True,True,3,3,"[4, 0]",,left down down,left down down
57,True,True,True,6,6,"[4, 5]",,right down right right right down,right down right right right down
58,False,False,False,10,8,"[0, 4]",out_of_bounds,up left up left left left left down down down,up left up left left left left down down down
59,False,False,False,0,12,"[1, 5]",invalid_action,,Goal not reachable
60,True,True,True,3,3,"[1, 4]",,right right down,right right down
61,True,True,True,4,4,"[1, 0]",,left left left up,left left left up
62,False,False,False,6,6,"[4, 0]",obstacle,up right right right right down,up right right right right down
63,True,True,True,4,4,"[5, 3]",,down down left down,down down left down
64,True,True,True,2,2,"[2, 5]",,down right,down right
65,True,True,True,5,5,"[5, 3]",,down down down left down,down down down left down
66,True,True,True,5,5,"[4, 3]",,down left down down right,down left down down right
67,True,True,True,1,1,"[5, 2]",,right,right
68,False,False,False,4,6,"[4, 2]",obstacle,down down left left,down down left left
69,True,True,True,2,2,"[5, 4]",,right down,right down
70,True,True,True,4,4,"[4, 2]",,right right down down,right right down down
71,True,True,True,4,4,"[0, 1]",,up up up left,up up up left
72,True,True,True,4,4,"[2, 2]",,up left left left,up left left left
73,True,True,True,6,6,"[5, 1]",,left down down down down left,left down down down down left
74,True,True,True,6,6,"[2, 5]",,up up up right right right,up up up right right right
75,True,True,True,3,3,"[5, 1]",,left left left,left left left
76,True,True,True,2,2,"[3, 2]",,right down,right down
77,True,True,True,3,3,"[2, 3]",,up up right,up up right
78,True,True,True,4,4,"[4, 4]",,down down down down,down down down down
79,True,True,True,6,6,"[3, 5]",,right right right right right down,right right right right right down
80,True,True,True,4,4,"[0, 4]",,up up right right,up up right right
