idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,5,5,"[1, 2]",,left left left up up,left left left up up
1,False,True,False,0,6,"[2, 0]",,,
2,False,True,False,0,5,"[4, 5]",,,
3,False,True,False,0,4,"[4, 1]",,,
4,False,True,False,0,8,"[3, 5]",,,
5,True,True,True,3,3,"[0, 2]",,up up right,up up right
6,False,True,False,0,5,"[5, 3]",,,
7,False,True,False,0,9,"[4, 0]",,,
8,True,True,True,2,2,"[4, 2]",,down right,down right
9,False,True,False,0,9,"[5, 1]",,,
10,False,True,False,0,4,"[1, 2]",,,
11,True,True,True,3,3,"[1, 5]",,up up up,up up up
12,False,True,False,0,8,"[4, 4]",,,
13,True,True,True,2,2,"[2, 1]",,right down,right down
14,False,True,False,0,8,"[5, 4]",,,
15,False,True,False,0,11,"[4, 5]",,,
16,False,True,False,0,6,"[1, 4]",,,
17,False,True,False,0,6,"[1, 3]",,,
18,True,True,True,2,2,"[1, 3]",,up up,up up
19,True,True,True,3,3,"[5, 0]",,left left down,left left down
20,False,True,False,0,5,"[3, 3]",,,
21,False,True,False,0,6,"[0, 4]",,,
22,False,True,False,0,6,"[4, 5]",,,
23,True,True,True,2,2,"[4, 3]",,right right,right right
24,False,True,False,0,4,"[2, 0]",,,
25,True,True,True,3,3,"[5, 3]",,down down down,down down down
26,True,True,True,5,5,"[4, 1]",,down down down down left,down down down down left
27,False,True,False,0,5,"[5, 5]",,,
28,True,True,True,3,3,"[4, 1]",,down down right,down down right
29,False,True,False,0,9,"[5, 1]",,,
30,True,True,True,4,4,"[2, 2]",,up up up left,up up up left
31,False,True,False,0,9,"[0, 5]",,,
32,False,True,False,0,4,"[1, 3]",,,
33,False,True,False,0,13,"[5, 5]",,,
34,True,True,True,4,4,"[3, 1]",,down down down left,down down down left
35,False,True,False,0,9,"[0, 0]",,,
36,True,True,True,2,2,"[5, 5]",,down down,down down
37,False,True,False,0,9,"[5, 1]",,,
38,False,True,False,0,6,"[0, 2]",,,
39,False,True,False,0,9,"[5, 5]",,,
40,False,True,False,0,9,"[4, 5]",,,
41,False,True,False,0,10,"[4, 5]",,,
42,False,True,False,0,8,"[0, 1]",,,
43,False,True,False,0,5,"[0, 3]",,,
44,False,True,False,0,8,"[2, 0]",,,
45,True,True,True,2,2,"[5, 4]",,down down,down down
46,False,True,False,0,9,"[0, 3]",,,
47,False,True,False,0,10,"[0, 4]",,,
48,False,True,False,0,6,"[1, 4]",,,
49,False,True,False,0,8,"[4, 1]",,,
50,False,True,False,0,10,"[5, 5]",,,
51,False,True,False,0,10,"[5, 5]",,,
52,False,True,False,0,9,"[0, 5]",,,
53,False,True,False,0,5,"[0, 0]",,,
54,False,True,False,0,7,"[0, 3]",,,
55,True,True,True,3,3,"[2, 2]",,down right right,down right right
56,False,True,False,0,9,"[5, 3]",,,
57,False,True,False,0,3,"[3, 5]",,,
58,False,True,False,0,9,"[2, 5]",,,
59,False,True,False,0,9,"[1, 5]",,,
60,False,True,False,0,9,"[0, 1]",,,
61,False,True,False,0,6,"[1, 0]",,,
62,True,True,True,3,3,"[4, 2]",,left left left,left left left
63,False,True,False,0,5,"[0, 4]",,,
64,False,True,False,0,10,"[1, 5]",,,
65,False,True,False,0,6,"[5, 3]",,,
66,False,True,False,0,8,"[2, 0]",,,
67,False,True,False,0,9,"[1, 0]",,,
68,False,True,False,0,6,"[3, 5]",,,
69,True,True,True,1,1,"[4, 1]",,right,right
70,False,True,False,0,6,"[2, 4]",,,
71,False,True,False,0,8,"[5, 0]",,,
72,False,True,False,0,9,"[5, 5]",,,
73,False,True,False,0,4,"[3, 0]",,,
74,False,True,False,0,9,"[0, 5]",,,
75,False,True,False,0,7,"[0, 0]",,,
76,False,True,False,0,6,"[4, 4]",,,
77,True,True,True,3,3,"[0, 4]",,up up up,up up up
78,True,True,True,3,3,"[5, 2]",,left left down,left left down
79,True,True,True,4,4,"[5, 1]",,down down left left,down down left left
80,True,True,True,3,3,"[5, 2]",,left left down,left left down
81,False,True,False,0,3,"[4, 4]",,,
82,False,True,False,0,9,"[1, 0]",,,
83,False,True,False,0,5,"[5, 0]",,,
84,True,True,True,2,2,"[0, 5]",,up up,up up
85,False,True,False,0,5,"[3, 3]",,,
86,True,True,True,3,3,"[4, 1]",,down down down,down down down
87,True,True,True,2,2,"[0, 5]",,right right,right right
88,False,True,False,0,9,"[4, 0]",,,
89,False,True,False,0,9,"[0, 0]",,,
90,False,True,False,0,8,"[4, 0]",,,
91,True,True,True,2,2,"[4, 0]",,down down,down down
92,False,True,False,0,10,"[0, 5]",,,
93,True,True,True,10,10,"[0, 5]",,right right right right right up up up up up,right right right right right up up up up up
94,True,True,True,2,2,"[4, 1]",,left left,left left
95,True,True,True,4,4,"[4, 2]",,down down down right,down down down right
96,True,True,True,1,1,"[0, 3]",,right,right
97,False,True,False,0,9,"[1, 0]",,,
98,False,True,False,0,9,"[4, 0]",,,
99,False,True,False,0,6,"[1, 2]",,,
